<<<<<<< HEAD
cid,cierre,reapertura
1,1/23/2012 0:43,1/31/2012 6:54
2,8/21/2017 2:29,8/26/2017 2:50
3,12/17/2015 0:16,12/20/2015 16:05
4,10/18/2017 7:34,10/27/2017 17:02
5,8/29/2019 0:03,9/10/2019 15:26
6,7/2/2017 15:46,7/6/2017 19:52
7,12/11/2013 0:19,12/24/2013 2:38
8,1/11/2020 4:41,1/17/2020 15:41
9,6/2/2010 5:06,6/9/2010 14:38
10,2/22/2018 21:33,3/9/2018 6:33
11,8/25/2017 13:52,9/8/2017 15:51
12,9/26/2018 20:50,10/4/2018 0:57
13,5/15/2013 7:21,5/25/2013 8:59
14,7/21/2020 17:41,7/28/2020 22:58
15,1/6/2018 22:29,1/12/2018 5:36
16,3/28/2010 4:27,4/7/2010 15:58
17,11/2/2013 21:45,11/7/2013 11:52
18,9/30/2013 22:21,10/12/2013 22:35
19,5/20/2016 3:26,5/30/2016 12:41
20,3/30/2015 3:10,4/3/2015 17:41
21,6/11/2019 0:35,6/15/2019 6:54
22,2/28/2016 3:15,3/6/2016 11:41
23,6/1/2012 23:46,6/8/2012 2:16
24,4/4/2019 4:52,4/7/2019 7:38
25,8/11/2015 11:40,8/24/2015 18:23
26,9/21/2012 16:19,9/30/2012 2:43
27,2/16/2013 17:00,3/3/2013 3:28
28,9/4/2020 10:06,9/14/2020 2:23
29,12/24/2013 6:16,12/30/2013 16:52
30,2/4/2016 20:35,2/8/2016 2:06
31,2/22/2015 20:57,2/26/2015 23:20
32,10/28/2013 18:39,11/2/2013 4:04
33,11/12/2013 8:06,11/23/2013 11:24
34,3/26/2019 16:24,4/7/2019 21:01
35,10/7/2014 0:06,10/11/2014 13:14
36,8/30/2012 14:52,9/7/2012 6:49
37,1/5/2019 5:58,1/8/2019 20:43
38,1/8/2019 17:11,1/18/2019 23:33
39,8/18/2016 11:01,8/27/2016 3:40
40,2/6/2017 4:26,2/17/2017 16:17
41,3/22/2013 14:03,3/30/2013 0:31
42,5/28/2013 4:36,6/3/2013 6:51
43,1/21/2014 19:00,2/4/2014 6:59
44,2/24/2013 0:58,3/7/2013 3:42
45,3/19/2011 8:20,4/3/2011 0:13
46,7/11/2016 0:12,7/18/2016 6:37
47,10/1/2019 16:08,10/14/2019 8:44
48,4/16/2010 1:14,4/28/2010 2:11
49,1/9/2012 4:34,1/19/2012 6:03
50,8/28/2019 11:12,9/6/2019 3:39
51,12/19/2015 14:57,12/28/2015 22:37
52,7/1/2017 4:40,7/6/2017 20:40
53,9/8/2010 22:07,9/17/2010 6:18
54,4/29/2011 19:02,5/10/2011 20:16
55,9/29/2011 12:20,10/13/2011 15:23
56,10/16/2013 4:47,10/19/2013 18:04
57,2/27/2016 1:59,3/5/2016 11:54
58,4/5/2012 6:58,4/11/2012 16:15
59,4/29/2015 18:24,5/3/2015 0:27
60,5/28/2014 11:46,6/11/2014 12:53
61,3/3/2019 4:14,3/11/2019 12:17
62,6/17/2011 19:01,6/27/2011 21:00
63,12/9/2018 6:20,12/20/2018 15:58
64,10/30/2017 15:59,11/9/2017 3:33
65,7/5/2014 14:21,7/13/2014 1:14
66,3/14/2014 15:07,3/27/2014 7:30
67,2/2/2015 17:53,2/16/2015 22:33
68,1/22/2011 3:12,2/5/2011 3:51
69,11/11/2013 11:55,11/21/2013 15:14
70,3/2/2016 1:03,3/13/2016 11:41
71,6/26/2020 4:30,7/8/2020 9:40
72,1/9/2020 21:48,1/24/2020 0:42
73,4/4/2010 15:24,4/12/2010 2:21
74,3/1/2018 14:19,3/5/2018 20:28
75,2/4/2019 7:46,2/14/2019 15:40
76,9/23/2010 20:03,10/5/2010 21:19
77,8/27/2014 20:53,9/11/2014 11:39
78,7/20/2014 9:25,7/31/2014 17:54
79,5/7/2017 3:25,5/12/2017 10:24
80,2/25/2017 13:29,3/3/2017 19:13
81,12/5/2018 10:35,12/17/2018 2:14
82,2/16/2014 11:27,2/27/2014 17:57
83,6/15/2017 4:15,6/20/2017 10:32
84,12/3/2010 21:24,12/12/2010 9:57
85,11/3/2014 4:31,11/10/2014 16:20
86,4/30/2012 14:56,5/15/2012 5:18
87,2/19/2010 23:24,3/1/2010 10:57
88,12/15/2017 3:46,12/28/2017 15:01
89,11/29/2010 20:27,12/10/2010 10:12
90,7/16/2011 0:49,7/24/2011 8:23
91,5/20/2012 2:22,6/3/2012 18:12
92,6/13/2019 18:41,6/24/2019 20:24
93,5/4/2015 21:59,5/14/2015 0:39
94,6/23/2014 5:21,7/6/2014 10:47
95,5/8/2018 14:35,5/18/2018 16:58
96,1/5/2018 23:05,1/10/2018 11:42
